Category,Title,Sub_Title,Sub_Href
Amazon Foundations,Core Amazon Terminology,Definition: 1P ,https://wiki.amazowl.com/sop/amazon-foundations/1P
Amazon Foundations,Core Amazon Terminology,Definition: 3P ,https://wiki.amazowl.com/sop/amazon-foundations/3P
Amazon Foundations,Core Amazon Terminology,Definition: Account Health,https://wiki.amazowl.com/sop/amazon-foundations/account-health
Amazon Foundations,Core Amazon Terminology,Definition: Amazon Media Group ,https://wiki.amazowl.com/sop/amazon-foundations/amazon-media-group
Amazon Foundations,Core Amazon Terminology,Definition: Brand Registry ,https://wiki.amazowl.com/sop/amazon-foundations/brand-registry
Amazon Foundations,Core Amazon Terminology,Definition: Brand Gating,https://wiki.amazowl.com/sop/amazon-foundations/brand-gating
Amazon Foundations,Core Amazon Terminology,Definition: Gated Brand,https://wiki.amazowl.com/sop/amazon-foundations/gated-brand
Amazon Foundations,Core Amazon Terminology,Definition: Gated Category,https://wiki.amazowl.com/sop/amazon-foundations/gated-category
Amazon Foundations,Core Amazon Terminology,Definition: Cost of Goods Sold (COGS),https://wiki.amazowl.com/sop/amazon-foundations/cost-of-goods-sold
Amazon Foundations,Core Amazon Terminology,Definition: Contra COGS,https://wiki.amazowl.com/sop/amazon-foundations/contra-cogs
Amazon Foundations,Core Amazon Terminology,Definition: Product Cost of Goods Sold (PCOGS),https://wiki.amazowl.com/sop/amazon-foundations/PCOGS
Amazon Foundations,Core Amazon Terminology,Definition: Pure Product Margin (PPM),https://wiki.amazowl.com/sop/amazon-foundations/PPM
Amazon Foundations,Core Amazon Terminology,Definition: Net Pure Product Margin (NetPPM),https://wiki.amazowl.com/sop/amazon-foundations/net-PPM
Amazon Foundations,Core Amazon Terminology,Definition: Revenue ,https://wiki.amazowl.com/sop/amazon-foundations/revenue
Amazon Foundations,Core Amazon Terminology,Definition: SEO ,https://wiki.amazowl.com/sop/amazon-foundations/SEO
Amazon Foundations,Core Amazon Terminology,Definition: A9,https://wiki.amazowl.com/sop/amazon-foundations/A9
Amazon Foundations,Core Amazon Terminology,Definition: Search Volume,https://wiki.amazowl.com/sop/amazon-foundations/search-volume
Amazon Foundations,Core Amazon Terminology,Definition: Drop-shipping ,https://wiki.amazowl.com/sop/amazon-foundations/drop-shipping
Amazon Foundations,Core Amazon Terminology,Definition: Free On Board (FOB),https://wiki.amazowl.com/sop/amazon-foundations/Free-On-Board-FOB
Amazon Foundations,Core Amazon Terminology,Definition: Fulfillment Center ,https://wiki.amazowl.com/sop/amazon-foundations/fulfillment-center
Amazon Foundations,Core Amazon Terminology,Definition: Amazon Channels,https://wiki.amazowl.com/sop/amazon-foundations/amazon-channels
Amazon Foundations,Core Amazon Terminology,Definition: Amazon Drive,https://wiki.amazowl.com/sop/amazon-foundations/amazon-drive
Amazon Foundations,Core Amazon Terminology,Definition: Amazon FreeTime Unlimited ,https://wiki.amazowl.com/sop/amazon-foundations/amazon-freetime-unlimited
Amazon Foundations,Core Amazon Terminology,Definition: Amazon Rapids ,https://wiki.amazowl.com/sop/amazon-foundations/amazon-rapids
Amazon Foundations,Core Amazon Terminology,Definition: Audible.com ,https://wiki.amazowl.com/sop/amazon-foundations/audible
